Lenovo;IP 520S-14IKB Laptop;Core i5 7200U,4 GB,256 GB,HD Graphics
HP;15- da0097nv Laptop;Core i5 7200U,4 GB,1 TB,GeForce MX110 2 GB
Apple;MacBook Pro 13'' ΞΌΞµ Touch Bar MR9U2GR/A (Mid 2018) Silver Laptop;Core i58259U,8 GB,256 GB,Iris Graphics
Lenovo;Yoga 730-13IKB Laptop;Intel Core i7 8550U,8 GB,512 GB,Intel UHD Graphics 620
Apple;128 S.G. MacBook Air Retina Laptop;Core i5 8210Y,8 GB,128 GB,Intel HD
Apple;128 Silv MacBook Air Retina Laptop;Core i5 8210Y,8 GB,128 GB,Intel HD
Apple;Ci5 MacMini Desktop;Intel Core i5 8500B,8 GB,256 GB SSD,HD Graphics
HP;Pavilion x360 14-dd0000nv Laptop;Core i3 8130U,4 GB,128 GB,HD Graphics
Lenovo;Ideapad 330-15IKBR Laptop;Core i3 7020U,4 GB,128 GB,Intel HD Graphics
Apple;Ci3 MacMini Desktop;Intel Core i3 8100U,8 GB,128 GB SSD,HD Graphics
Lenovo;Ideapad 720S 13AARR Ryzen 7 Laptop;Ryzen 7 2700U,8 GB,256 GB,Radeon Vega 10
Lenovo;Legion Y530-15ICH Laptop;Intel Core i7 8750H,8 GB,128GB SSD + 1TB HDD,GTX 1050 4 GB
Lenovo;Yoga 730 -13IKB Laptop;Core i7 8550U,8 GB,256 GB,HD Graphics
Dell;Inspiron 15 3576-2562 Laptop;Core i5 7200U,8 GB,256 GB,Radeon 520 2 GB
Turbo-X;Steel MX II MTS Laptop;Celeron N3350,4 GB,32 GB,HD Graphics
Dell;XPS 9560-2979 (16G/512G/Pro) Laptop;Core i7 7700HQ,16 GB,512 GB,GTX 1050 4 GB
Dell;3567 Pro B2B Inspiron Laptop;Core i3 6006U,4 GB,128 GB,HD Graphics
Microsoft;Surface Book 2 i7 (8650U) Laptop;Core i7 8650U,8 GB,256 GB,GTX 1050 2 GB
Toshiba;Tecra X40-D-10G Laptop;Core i5 7200U,8 GB,256 GB,HD Graphics
Dell;Inspiron 13 7386-2722 Laptop;Core i7 8565U,16 GB,512 GB,HD Graphics
Apple;MacBook Pro 13'' ΞΌΞµ Touch Bar MR9V2GR/A (Mid 2018) Silver Laptop;Core i58259U,8 GB,512 GB,Iris Graphics
Dell;Inspiron 5579-7808 360 Laptop;Core i5 8250U,8 GB,256 GB,HD Graphics
Apple;MacBook 12'' MNYH2GR/A (Mid 2017) Silver Laptop;Core M M3,8 GB,256 GB,Intel
Dell;Inspiron 15 5570-6080 Laptop;Core i7 8550U,8 GB,256 GB,Radeon 530 4 GB
Dell;Inspiron 3567-2504 Laptop;Core i3 6006U,4 GB,1 TB,R5 M430 2 GB
Toshiba;Satellite Pro A50-C-27D Laptop;Core i3 6100U,4 GB,128 GB,HD
Microsoft;Surface Go Laptop;Pentium Processor 4415Y,8 GB,128 GB,Intel HD Graphics
Dell;XPS 15 9570-2685 Laptop;Core i7 8750H,8 GB,256 GB,GTX 1050 Ti 4
Microsoft;Surface Go Laptop;Pentium Processor 4415Y,4 GB,64 GB,Intel HD Graphics
Microsoft;Surface Book 2 i5 (7300U) Laptop;Core i5 7300U,8 GB,256 GB,HD Graphics
Microsoft;Surface Book 2 i7 (8650U) Laptop;Core i7 8650U,16 GB,512 GB,GTX
Microsoft;Surface Book 2 i7 (8650U) Laptop;Core i7 8650U,16 GB,1 TB,GTX 1050
HP;Omen 17 -an105nv Laptop;Core i7 8750H,16 GB,256GB SSD + 1TB HDD,GTX 1070 8
Microsoft;Surface Book 2 15 Laptop;Core i7 8650U,16 GB,256 GB SSD,GTX 1060
Microsoft;Surface Book 2 15 Laptop;Core i7 8650U,16 GB,512 GB,GTX 1060
Microsoft;Surface Book 2 15 Laptop;Core i7 8650U,16 GB,1 TB,GTX 1060
Lenovo;Yoga 920-13IK Laptop;Core i7 8550U,8 GB,256 GB,HD Graphics
Lenovo;Yoga 730 Laptop;Core i7 8550U,8 GB,256 GB,HD Graphics
Dell;Inspiron 7773-7815 360 Laptop;Core i7 8550U,16 GB,512 GB,GeForce MX150 2
Toshiba;Satellite Pro R50-E-106 Laptop;Core i5 8250U,8 GB,128 GB,Intel HD
Toshiba;Tecra A50-E-10M Laptop;Core i7 8550U,8 GB,512 GB,Intel HD Graphics 620
HP;17- an124nv Gaming Laptop;Core i7 8750H,12 GB,256GB SSD + 1TB
Samsung;Galaxy Book 12.0 LTE Laptop;Core i5 7200U,8 GB,256 GB,Intel HD Graphics
Dell;XPS 13 9370-2678 Laptop;Core i7 8550U,8 GB,256 GB,HD Graphics
Dell;XPS 15 9570-2692 Touch Laptop;Core i7 8750H,32 GB,1 TB,GTX 1050 Ti 4 GB
Dell;XPS 15 9570-2708 UHD Laptop;Core i9 8950HK,32 GB,2 TB,GTX 1050 Ti 4 GB
Dell;Inspiron 15 7580-2739 Laptop;Core i7 8565U,8 GB,512 GB,GeForce MX150 2
Dell;Inspiron 14 2in1 5482-2524 Laptop;Core i7 8565U,8 GB,256 GB,GeForce MX130 2 GB
Toshiba;Satellite Pro A50-E-15X Laptop;Core i7 8550U,8 GB,1 TB,Intel UHD
Toshiba;PortegeZ30-C-16J Laptop;Core i5 6200U,8 GB,256 GB,HD Graphics
Toshiba;PortegeZ30-C-16L Laptop;Core i7 6500U,8 GB,256 GB,HD Graphics
Toshiba;Portege Z30-C-16P Laptop;Core i7 6500U,16 GB,512 GB,HD Graphics
Toshiba;Portege Z30t-C-133 Laptop;Core i7 6500U,16 GB,512 GB,HD Graphics
Microsoft;Surface Platinum ΞΌΞµ Core i5 Laptop;Core i5 7200U,4 GB,128 GB,Intel HD Graphics 620
Microsoft;Surface Platinum ΞΌΞµ Core i5 Laptop;Core i5 7200U,4 GB,128 GB,Intel HD Graphics 620
Microsoft;Surface i7/16GB/512GB Laptop;Core i7 7660U,16 GB,512 GB,Iris Plus 640
Microsoft;Surface Pro (Gen 5) i7 FJZ-00004 Laptop;Core i7 7660U,8 GB,256 GB,IRIS 640
HP;Envy 13-ad010nv Laptop;Core i7 7500U,8 GB,128 GB,HD Graphics
Microsoft;Surface Pro (Gen 5) i7/16GB/512GB Laptop;Core i7 7660U,16 GB,512 GB,IRIS 640
Lenovo;320-17IKB (i7/D4) Laptop;Core i7 7500U,6 GB,128GB SSD + 1TB HDD,940MX 4 GB
Lenovo;YOGA 920-13IKB (i5) Laptop;Core i5 8250U,8 GB,256 GB,HD Graphics
Toshiba;Satellite Pro A50-D-10X Laptop;Core i5 7200U,8 GB,256 GB,HD
Toshiba;Tecra Z50-D-10E Laptop;Core i5 7200U,8 GB,256 GB,HD Graphics
Toshiba;Tecra X40-D-10H Laptop;Core i7 7500U,16 GB,512 GB,HD Graphics
Toshiba;Portege X30-D-10J Laptop;Core i5 7200U,8 GB,256 GB,HD Graphics
Toshiba;Portege X30-D-10K Laptop;Core i7 7500U,16 GB,512 GB,HD Graphics
Toshiba;Portege X30-D-10L Laptop;Core i7 7500U,32 GB,512 GB,HD Graphics
Apple;MacBook Pro 15'' ΞΌΞµ Touch Bar MR972GR/A (Mid 2018) Silver Laptop;Core i78850H,16 GB,512 GB,Radeon Graphics 4 GB
Apple;MacBook Pro 15'' ΞΌΞµ Touch Bar MR962GR/A (Mid 2018) Silver Laptop;Core i78750H,16 GB,256 GB,Radeon Graphics 4 GB
HP;Omen 15 -dc0022nv Laptop;Core i7 8750H,8 GB,1 TB,GTX 1050 4 GB
HP;Stream 14- cb060nv Laptop;Celeron N3060,4 GB,32 GB,HD Graphics
Lenovo;IP 520S-14IKB Laptop;Core i5 7200U,4 GB,256 GB,HD Graphics
HP;15- da0097nv Laptop;Core i5 7200U,4 GB,1 TB,GeForce MX110 2 GB
Apple;MacBook Pro 13'' ΞΌΞµ Touch Bar MR9U2GR/A (Mid 2018) Silver Laptop;Core i58259U,8 GB,256 GB,Iris Graphics
Lenovo;Yoga 730-13IKB Laptop;Intel Core i7 8550U,8 GB,512 GB,Intel UHD
Apple;128 S.G. MacBook Air Retina Laptop;Core i5 8210Y,8 GB,128 GB,Intel HD
Apple;128 Silv MacBook Air Retina Laptop;Core i5 8210Y,8 GB,128 GB,Intel HD
Apple;Ci5 MacMini Desktop;Intel Core i5 8500B,8 GB,256 GB SSD,HD Graphics
HP;Pavilion x360 14-dd0000nv Laptop;Core i3 8130U,4 GB,128 GB,HD Graphics
Lenovo;Ideapad 330-15IKBR Laptop;Core i3 7020U,4 GB,128 GB,Intel HD Graphics 620
Apple;Ci3 MacMini Desktop;Intel Core i3 8100U,8 GB,128 GB SSD,HD Graphics
Lenovo;Ideapad 720S 13AARR Ryzen 7 Laptop;Ryzen 7 2700U,8 GB,256 GB,Radeon Vega 10
Lenovo;Ideapad 320 -17ISK Laptop;Core i5 6200U,8 GB,256 GB,NVIDIA 920MX 2 GB
Dell;Inspiron G5 5587-2531 Laptop;Intel Core i7 8750H,16 GB,256GB SSD + 1TB HDD,GTX 1050 Ti 4 GB
Toshiba;Portege X20W-D-10Q Laptop;Core i5 7200U,8 GB,256 GB,HD Graphics
Apple;128 Gold MacBook Air Retina Laptop;Core i5 8210Y,8 GB,128 GB,Intel HD
